,Date,Adj_Close,Close,High,Low,Open,Volume
0,2010-01-04 00:00:00+00:00,6.695000172,6.695000172,6.830500126,6.657000065,6.8125,151998000
1,2010-01-05 00:00:00+00:00,6.734499931,6.734499931,6.774000168,6.590499878,6.671500206,177038000
2,2010-01-06 00:00:00+00:00,6.612500191,6.612500191,6.736499786,6.582499981,6.730000019,143576000
3,2010-01-07 00:00:00+00:00,6.5,6.5,6.616000175,6.440000057,6.600500107,220604000
4,2010-01-08 00:00:00+00:00,6.676000118,6.676000118,6.684000015,6.451499939,6.527999878,196610000
5,2010-01-11 00:00:00+00:00,6.515500069,6.515500069,6.639999866,6.460499763,6.631000042,175588000
6,2010-01-12 00:00:00+00:00,6.367499828,6.367499828,6.491000175,6.327499866,6.449500084,181926000
7,2010-01-13 00:00:00+00:00,6.455500126,6.455500126,6.485499859,6.287499905,6.394999981,214464000
8,2010-01-14 00:00:00+00:00,6.367499828,6.367499828,6.519000053,6.320000172,6.456999779,195498000
9,2010-01-15 00:00:00+00:00,6.356999874,6.356999874,6.482500076,6.353000164,6.459000111,307530000
10,2010-01-19 00:00:00+00:00,6.38049984,6.38049984,6.400000095,6.216499805,6.315499783,177852000
11,2010-01-20 00:00:00+00:00,6.289000034,6.289000034,6.460000038,6.254000187,6.356500149,181494000
12,2010-01-21 00:00:00+00:00,6.330999851,6.330999851,6.40749979,6.25,6.362999916,199412000
13,2010-01-22 00:00:00+00:00,6.071499825,6.071499825,6.383500099,6.038000107,6.28000021,231378000
14,2010-01-25 00:00:00+00:00,6.015500069,6.015500069,6.113999844,5.906000137,6.105000019,240478000
15,2010-01-26 00:00:00+00:00,5.973999977,5.973999977,6.149000168,5.953000069,6.027999878,191180000
16,2010-01-27 00:00:00+00:00,6.137499809,6.137499809,6.166500092,5.940000057,6.051499844,295306000
17,2010-01-28 00:00:00+00:00,6.301499844,6.301499844,6.360000134,6.139999866,6.22149992,545862000
18,2010-01-29 00:00:00+00:00,6.270500183,6.270500183,6.59250021,6.206999779,6.488500118,589426000
19,2010-02-01 00:00:00+00:00,5.943500042,5.943500042,6.243000031,5.690999985,6.15899992,755488000
20,2010-02-02 00:00:00+00:00,5.906000137,5.906000137,5.948999882,5.71999979,5.939499855,461594000
21,2010-02-03 00:00:00+00:00,5.954999924,5.954999924,5.980500221,5.828000069,5.855999947,248118000
22,2010-02-04 00:00:00+00:00,5.796999931,5.796999931,6.016499996,5.787000179,5.93200016,255680000
23,2010-02-05 00:00:00+00:00,5.86950016,5.86950016,5.882500172,5.704999924,5.794000149,220496000
24,2010-02-08 00:00:00+00:00,5.841499805,5.841499805,6.050000191,5.828000069,5.968999863,197804000
25,2010-02-09 00:00:00+00:00,5.901500225,5.901500225,5.954500198,5.849999905,5.909999847,184460000
26,2010-02-10 00:00:00+00:00,5.868000031,5.868000031,5.930500031,5.800000191,5.900000095,124664000
